symbol,price,day_change_pct,avg_entry_return,median_entry_return,best_entry_return,worst_entry_return,pct_profitable_entries,entry_days,roll3m_avg,roll3m_median,roll3m_best,roll3m_worst,roll3m_pos_pct,roll3m_windows,high_52w,low_52w,as_of
ORBTEXP,234.7,-3.59,30.43,35.81,73.4,-5.98,92.0,125,17.62,13.81,73.28,-21.08,56.1,82.0,264.98,135.0,2026-07-31
SONATSOFTW,308.9,-2.69,15.95,15.99,49.39,-3.92,92.1,126,2.4,5.03,34.3,-35.28,53.0,83.0,327.45,204.36,2026-07-31
NIITLTD,95.08,-2.96,25.9,28.7,88.73,-11.41,76.2,126,22.74,31.11,99.72,-35.65,53.0,83.0,111.1,49.0,2026-07-31
RPTECH,813.0,5.1,72.06,68.66,140.6,1.44,100.0,126,59.6,54.24,128.99,-7.34,96.4,83.0,842.0,320.0,2026-07-31
TARSONS,316.45,-1.11,45.15,50.15,90.11,-1.39,97.6,126,21.47,11.17,60.99,-20.21,89.2,83.0,334.9,164.45,2026-07-31
XPROINDIA,1394.7,2.18,28.49,30.4,71.79,-7.12,90.5,126,25.21,29.57,63.03,-2.95,95.2,83.0,1572.64,786.97,2026-07-31
CEWATER,286.35,-1.68,-6.43,-7.39,18.69,-34.56,34.4,125,-6.27,-10.64,39.82,-38.62,30.5,82.0,442.0,235.0,2026-07-31
MSTCLTD,604.75,-1.51,25.04,33.45,65.3,-16.8,78.6,126,22.55,1.71,93.9,-22.96,57.8,83.0,743.9,362.15,2026-07-31
LLOYDSENGG,88.07,-2.13,49.07,49.63,133.42,-3.57,89.7,126,53.45,54.93,136.36,-22.33,92.8,83.0,95.1,37.4,2026-07-31
FACT,815.45,-1.34,-2.79,-4.82,23.16,-18.28,34.1,126,8.59,10.92,30.85,-12.67,74.7,83.0,1058.6,652.1,2026-07-31
GRANDOAK,33.67,-4.78,-0.09,3.23,36.65,-36.6,51.4,70,29.11,30.57,47.27,10.39,100.0,9.0,55.76,24.0,2026-07-31
FINKURVE,60.94,-1.8,-9.32,-7.78,19.33,-37.46,16.0,125,-7.8,-12.69,28.46,-42.31,31.7,82.0,104.0,48.02,2026-07-31
